id,S1,C1,S2,C2,S3,C3,S4,C4,S5,C5,label
405,4,9,2,4,1,3,3,7,1,12,0
406,4,11,1,12,3,7,2,4,2,1,0
407,4,2,3,11,2,4,4,13,2,13,1
408,4,1,2,1,4,3,2,4,2,8,1
409,4,4,1,5,2,3,1,11,4,13,0
410,2,5,3,5,4,12,2,2,3,12,2
411,1,8,4,10,2,11,3,4,3,3,0
412,4,6,4,3,1,5,1,11,2,8,0
413,4,6,1,11,3,5,2,5,1,10,1
414,2,2,3,5,1,6,3,10,3,3,0
415,4,10,2,1,2,11,1,2,4,13,0
416,1,11,2,10,3,9,2,2,1,6,0
417,1,10,2,3,2,4,1,8,4,11,0
418,4,11,3,4,4,2,2,4,1,6,1
419,2,9,3,4,2,11,4,4,4,9,2
420,1,4,4,9,3,2,1,12,2,6,0
421,4,9,2,8,2,6,3,6,4,11,1
422,3,12,3,1,2,11,3,2,2,5,0
423,2,1,3,5,2,7,1,4,2,10,0
424,3,7,2,2,1,7,2,7,1,2,6
425,2,5,3,8,2,4,1,5,3,11,1
426,3,8,1,11,3,12,2,5,2,9,0
427,3,12,3,9,3,2,1,3,3,6,0
428,3,9,3,13,1,5,2,8,4,8,1
429,1,1,3,11,2,4,2,8,1,8,1
430,3,3,2,5,1,2,3,6,4,10,0
431,3,9,3,1,1,8,4,9,2,10,1
432,4,1,2,5,2,12,3,2,2,10,0
433,1,7,1,11,2,13,2,3,2,5,0
434,2,10,1,11,1,7,1,2,3,11,1
435,1,4,1,11,4,6,4,10,3,10,1
436,4,8,2,13,4,4,4,12,1,1,0
437,2,2,2,6,4,1,3,9,4,8,0
438,4,5,2,1,2,3,3,6,1,10,0
439,2,7,4,8,3,11,4,5,4,7,1
440,1,11,2,3,3,7,1,12,1,4,0
441,4,7,4,1,1,5,1,2,2,3,0
442,3,5,1,13,4,11,2,2,3,11,1
443,1,10,1,4,1,3,3,3,3,1,1
444,1,13,2,12,4,13,2,4,2,2,1
445,4,3,4,6,4,5,1,3,2,3,3
446,4,12,2,6,2,10,4,3,4,2,0
447,1,10,1,1,1,3,2,2,1,2,1
448,4,13,4,6,1,13,2,2,3,13,3
449,1,6,3,6,4,12,3,8,4,8,2
450,4,1,1,10,2,9,3,2,3,7,0
451,1,11,2,3,3,9,3,10,3,5,0
452,2,6,4,8,4,5,2,7,4,3,0
453,2,13,2,8,1,13,4,3,1,3,2
454,3,9,2,10,3,3,2,8,4,1,0
455,3,9,4,11,2,5,3,5,1,13,1
456,1,2,1,7,3,2,4,1,4,5,1
457,3,2,3,4,2,12,3,12,1,6,1
458,1,1,3,11,3,6,2,2,2,7,0
459,2,8,1,10,2,2,4,9,1,5,0
460,3,13,2,2,1,11,4,12,1,5,0
461,1,3,1,1,4,6,3,2,1,12,0
462,2,12,1,5,2,13,1,11,2,9,0
463,3,4,2,10,3,13,2,6,4,7,0
464,4,7,2,9,2,7,4,6,1,4,1
465,4,13,1,7,4,11,1,11,2,4,1
466,1,2,4,6,3,4,4,8,4,1,0
467,2,2,4,9,1,6,1,8,3,13,0
468,4,11,3,3,3,6,2,11,1,6,2
469,4,13,1,9,3,7,3,11,1,7,1
470,2,1,4,12,1,4,1,7,3,3,0
471,2,3,2,6,2,9,2,7,3,9,1
472,2,11,1,4,3,7,2,1,2,9,0
473,3,13,4,8,1,2,1,11,2,4,0
474,2,9,4,5,1,3,1,11,1,6,0
475,3,1,1,1,3,6,4,1,2,7,3
476,2,9,3,3,1,4,3,1,2,8,0
477,4,12,1,12,3,12,2,13,3,4,3
478,4,10,4,12,2,9,2,4,3,8,0
479,3,3,3,13,3,2,3,11,4,12,0
480,1,3,3,3,1,13,1,6,1,4,1
481,3,6,3,5,1,13,1,6,2,10,1
482,1,13,4,6,4,2,3,2,2,2,3
483,1,11,4,11,1,5,3,1,2,9,1
484,4,13,2,12,2,9,3,6,3,3,0
485,1,5,2,5,3,2,3,1,4,3,1
486,1,4,4,4,2,12,1,3,1,10,1
487,1,5,3,9,1,6,3,3,4,7,0
488,2,2,1,8,4,6,3,4,2,12,0
489,3,1,1,5,4,5,3,9,4,4,1
490,2,13,1,9,3,8,4,1,1,1,1
491,1,9,1,8,3,10,4,10,2,10,3
492,1,2,3,10,2,11,2,6,2,8,0
493,2,6,4,11,4,6,4,5,3,10,1
494,4,10,2,13,2,2,3,10,4,13,2
495,3,6,2,12,3,3,2,3,1,9,1
496,2,10,4,5,2,13,2,2,3,13,1
497,4,7,3,3,2,5,2,8,3,10,0
498,4,10,1,9,1,4,2,4,1,2,1
499,2,9,3,7,1,13,2,13,1,2,1
500,1,10,2,6,2,12,2,5,4,3,0
501,2,3,1,11,3,4,2,2,3,8,0
502,2,8,1,4,4,13,1,3,4,12,0
503,3,10,4,10,1,5,3,4,4,5,2
504,2,12,4,12,4,11,1,4,3,13,1
505,2,10,3,6,4,4,4,8,4,1,0
506,4,3,3,9,2,12,3,5,2,9,1
507,3,7,2,6,3,1,1,11,3,5,0
508,3,10,2,9,2,13,2,6,1,3,0
509,3,10,3,5,3,13,2,3,2,9,0
510,1,13,2,10,2,6,3,13,4,6,2
511,1,3,3,9,3,12,3,6,2,9,1
512,4,4,2,4,1,4,3,1,1,1,6
513,4,8,4,10,3,5,2,12,1,5,1
514,4,6,2,3,4,13,2,10,2,7,0
515,4,12,1,10,1,13,1,4,2,6,0
516,2,6,3,11,2,7,4,4,1,2,0
517,2,6,2,12,3,4,3,13,2,11,0
518,1,11,1,9,4,11,2,13,3,10,1
519,3,10,2,12,2,10,3,2,3,4,1
520,3,5,1,7,1,9,4,12,4,4,0
521,4,10,3,1,4,2,4,7,2,8,0
522,2,7,4,11,4,12,2,12,2,11,2
523,4,5,2,3,3,4,4,10,2,12,0
524,2,3,4,8,1,6,4,12,3,13,0
525,1,11,1,7,4,10,4,12,2,1,0
526,3,4,4,4,4,10,4,13,2,2,1
527,2,2,2,1,4,12,4,13,3,13,1
528,3,3,2,7,3,5,3,6,2,8,0
529,1,8,3,9,2,6,4,11,2,9,1
530,2,13,2,8,1,8,4,10,4,1,1
531,4,3,3,3,3,8,1,5,2,13,1
532,4,12,1,1,1,3,3,11,3,13,0
533,2,3,3,6,2,13,4,3,2,5,1
534,3,4,4,7,2,12,2,7,4,10,1
535,3,12,2,7,4,6,3,11,1,9,0
536,3,7,1,7,3,5,2,4,2,13,1
537,2,2,2,3,3,8,3,7,2,4,0
538,2,6,1,10,2,10,2,4,3,3,1
539,3,7,1,6,4,13,3,2,2,8,0
540,2,1,3,12,3,8,1,8,4,10,1
541,1,5,4,4,2,11,1,1,3,2,0
542,1,7,1,13,4,8,2,3,4,1,0
543,3,13,4,7,2,10,2,6,3,2,0
544,1,7,4,11,4,10,2,2,3,3,0
545,2,13,2,3,4,13,1,3,2,1,2
546,4,3,2,4,4,13,2,11,2,2,0
547,3,7,4,11,2,5,4,4,2,3,0
548,4,4,4,7,4,12,2,9,1,10,0
549,3,12,3,11,4,4,2,3,3,13,0
550,2,12,3,3,1,7,3,6,4,12,1
551,3,8,1,8,3,6,2,6,1,13,2
552,3,1,3,5,1,7,1,8,3,10,0
553,4,1,2,1,2,7,3,6,2,8,1
554,3,7,2,10,3,10,2,8,1,3,1
555,4,1,4,10,3,3,2,5,1,7,0
556,1,9,1,12,3,5,4,1,3,6,0
557,3,4,3,13,3,8,2,3,3,3,1
558,1,12,4,5,2,3,3,13,3,2,0
559,1,10,2,7,3,4,4,9,3,1,0
560,4,4,3,7,1,7,2,12,4,11,1
561,2,9,3,13,1,10,2,7,1,13,1
562,3,11,4,5,2,1,3,9,2,10,0
563,2,2,2,11,2,13,3,11,1,10,1
564,3,4,1,3,1,11,2,3,1,8,1
565,4,2,1,4,2,9,3,5,3,4,1
566,2,1,1,9,2,10,4,6,2,6,1
567,3,6,2,6,4,10,1,7,3,13,1
568,3,12,2,8,4,11,3,6,4,3,0
569,4,4,2,8,2,2,2,10,1,9,0
570,2,9,3,13,4,6,2,13,1,8,1
571,1,7,3,11,1,1,1,4,2,3,0
572,2,1,2,7,1,2,3,2,1,8,1
573,1,3,2,12,3,1,1,2,4,4,0
574,4,12,2,12,1,4,1,3,2,11,1
575,3,11,2,8,1,2,3,1,4,11,1
576,2,1,4,7,3,9,1,11,2,13,0
577,1,7,3,9,4,10,2,13,1,4,0
578,4,7,3,10,3,11,1,11,3,3,1
579,3,13,3,8,3,1,4,4,2,6,0
