id,Attribute1,Attribute2,Attribute3,Attribute4,Attribute5,Attribute6,Attribute7,Attribute8,Attribute9,Attribute10,Attribute11,Attribute12,Attribute13,Attribute14,Attribute15,Attribute16,label
86,47,93,1,67,0,16,53,0,100,32,95,81,42,100,7,62,0
87,38,51,8,66,0,19,42,0,87,26,100,71,61,100,16,84,0
88,95,92,50,100,21,77,74,87,100,86,69,56,37,26,0,0,9
89,18,88,2,54,40,25,2,0,0,30,20,70,45,100,100,93,5
90,39,100,23,82,0,52,1,21,48,0,100,16,70,42,6,55,6
91,22,100,1,66,0,33,50,32,100,36,82,63,77,30,71,0,4
92,3,96,53,100,81,68,83,28,72,0,100,34,51,41,0,43,7
93,0,65,38,79,62,100,72,86,77,65,79,43,83,21,100,0,1
94,19,81,0,41,12,0,54,1,88,29,100,71,72,100,31,91,0
95,0,60,38,80,80,100,100,92,80,69,65,46,55,23,55,0,1
96,40,72,16,50,96,69,70,100,0,73,65,57,100,47,94,0,9
97,100,100,63,78,28,53,0,27,4,0,60,1,78,22,24,21,6
98,33,58,19,90,78,100,91,62,51,28,0,2,37,1,100,0,2
99,14,91,9,52,28,10,74,0,100,38,86,81,43,100,0,80,0
100,20,85,62,100,71,72,45,52,98,47,100,17,53,0,0,0,3
101,9,100,0,66,20,25,61,0,100,21,93,64,54,91,9,76,0
102,42,83,60,53,89,11,13,0,0,33,77,57,100,92,18,100,8
103,4,63,12,15,52,0,92,15,100,63,72,100,28,97,0,62,0
104,38,94,90,100,94,79,59,57,68,33,100,12,54,0,0,1,3
105,22,55,10,60,0,18,46,0,89,28,100,70,68,100,29,69,0
106,27,100,0,58,12,5,62,0,100,39,97,91,48,97,18,53,0
107,43,94,15,66,52,38,20,0,5,35,0,83,42,100,100,98,5
108,0,87,37,100,19,70,5,42,88,49,100,58,84,28,88,0,4
109,73,98,35,100,0,59,0,13,71,8,100,45,29,41,9,0,6
110,15,73,0,34,30,0,81,1,100,38,87,78,44,100,16,68,0
111,85,100,30,84,5,54,0,22,48,0,100,21,66,47,0,37,6
112,0,88,24,68,76,33,43,0,29,32,84,66,100,100,8,89,8
113,50,97,72,68,100,100,42,86,93,72,89,48,70,7,0,0,9
114,42,100,9,79,0,46,48,31,100,46,89,52,46,30,19,0,4
115,7,100,0,56,51,37,39,0,9,15,5,62,42,92,100,96,5
116,100,77,92,100,49,76,18,48,0,15,38,0,75,23,29,27,6
117,44,66,67,100,80,62,47,25,5,0,0,3,50,4,100,7,2
118,37,100,48,57,74,97,27,97,80,68,100,26,49,0,0,22,9
119,100,89,40,83,63,40,84,0,0,7,53,53,80,100,3,78,8
120,45,93,0,60,75,69,89,29,19,0,15,43,26,93,100,100,5
121,45,100,10,67,7,16,56,0,100,31,91,79,38,95,0,61,0
122,13,68,15,30,42,0,86,19,100,56,84,90,33,100,0,73,0
123,49,83,8,57,0,17,51,0,93,28,100,70,61,100,8,86,0
124,16,100,0,78,5,54,41,32,93,39,100,48,91,24,89,0,4
125,22,93,0,95,50,97,100,100,67,81,43,56,28,28,30,0,7
126,52,91,72,100,87,70,57,43,100,45,90,15,43,0,0,12,3
127,96,100,52,95,48,76,96,98,100,85,71,54,39,25,0,0,9
128,29,73,56,100,68,71,45,38,11,12,0,8,50,6,100,0,2
129,14,94,4,63,43,36,36,0,10,27,0,72,47,92,100,100,5
130,53,87,32,47,98,64,69,100,58,69,100,61,71,3,0,0,9
131,68,100,24,83,0,41,13,0,60,3,99,30,100,71,55,89,0
132,100,98,60,100,29,73,10,41,6,6,46,0,46,27,0,30,6
133,100,70,58,100,10,75,0,24,48,0,100,19,97,68,45,81,0
134,84,100,59,99,16,72,0,42,20,12,100,0,94,22,4,27,6
135,100,100,53,81,25,54,11,25,38,0,99,8,65,29,0,25,6
136,0,42,30,56,59,72,86,94,100,100,80,68,62,35,53,0,1
137,67,100,30,90,0,57,41,40,100,53,98,67,66,34,40,0,4
138,73,85,31,65,0,0,52,9,100,57,82,100,81,78,38,25,0
139,28,82,0,39,30,0,80,5,100,54,70,99,22,100,7,50,0
140,86,100,48,79,13,52,0,22,45,0,100,16,76,40,6,35,6
141,40,79,61,100,78,72,46,41,0,16,1,5,61,1,100,0,2
142,100,88,69,100,20,84,70,86,93,71,70,44,38,19,0,0,9
143,30,98,16,60,53,28,46,0,13,29,0,68,27,95,100,100,5
144,2,78,46,99,100,100,77,76,94,38,94,0,41,3,0,28,3
145,0,42,34,57,64,79,95,100,100,85,81,57,62,28,45,0,1
146,19,100,4,77,0,51,46,36,100,47,96,49,87,23,77,0,4
147,3,66,16,100,27,69,14,32,0,0,33,5,67,10,100,11,2
148,47,100,40,82,18,49,0,19,53,20,92,34,94,35,100,0,4
149,29,38,61,60,92,83,100,100,73,76,49,50,25,25,0,0,1
150,0,63,41,77,79,94,100,100,85,74,75,48,71,22,82,0,1
151,0,52,52,83,97,100,91,55,84,10,21,0,21,7,100,7,1
152,65,100,24,84,0,48,9,10,61,0,100,24,58,47,2,46,6
153,88,80,12,80,100,100,100,91,65,68,29,46,6,23,0,0,1
154,13,80,53,71,100,100,23,99,0,71,81,74,74,40,47,0,9
155,0,79,51,59,100,29,51,0,22,26,51,60,73,94,9,100,8
156,72,100,38,84,13,63,0,40,40,28,88,31,100,22,84,0,4
157,0,100,67,100,86,72,56,37,34,0,6,33,32,45,100,46,7
158,37,84,69,100,96,87,55,61,88,38,100,9,51,0,0,3,3
159,0,100,73,97,95,80,100,64,95,48,82,31,64,15,23,0,1
160,0,59,77,74,100,100,17,93,7,71,82,68,45,35,20,0,9
161,2,85,31,100,76,74,62,37,47,0,100,8,68,30,0,41,7
162,13,100,0,76,28,53,94,56,100,76,93,66,94,33,91,0,4
163,21,75,40,100,85,94,67,63,100,43,95,11,47,0,0,13,3
164,48,100,15,83,0,39,23,1,71,0,100,34,86,77,44,98,0
165,24,100,100,99,93,78,64,48,39,17,19,0,0,31,72,38,7
166,45,85,93,100,100,98,48,88,7,62,48,48,48,18,0,0,5
167,54,93,0,88,54,46,70,0,5,9,54,52,100,96,7,100,8
168,46,83,87,100,100,79,75,54,90,36,100,13,49,0,0,12,3
169,84,100,46,98,13,60,0,19,53,0,100,32,33,36,10,4,6
170,26,74,19,49,64,21,20,0,1,25,0,64,45,87,100,100,5
171,39,62,78,88,79,100,57,64,38,30,0,0,34,4,100,0,1
172,14,100,1,54,51,47,36,0,0,14,6,71,42,93,100,97,5
173,0,65,43,76,93,96,100,100,71,75,48,50,26,25,5,0,1
174,0,70,53,88,64,100,62,78,70,57,83,36,100,14,98,0,1
175,0,67,16,80,64,100,85,99,85,74,89,49,95,24,100,0,1
176,88,99,45,82,78,75,90,100,100,68,93,36,59,9,0,0,9
177,30,100,16,84,0,51,28,26,80,33,100,65,79,34,68,0,4
178,24,100,14,55,72,52,54,0,8,2,0,58,35,95,100,99,5
179,0,78,18,96,59,95,100,100,86,82,66,56,52,29,47,0,7
180,0,91,46,100,85,80,91,40,88,0,99,22,100,52,50,49,7
181,21,92,85,100,90,67,67,34,49,0,0,26,27,43,100,42,7
182,31,95,5,61,0,23,32,0,77,18,100,51,82,85,37,100,0
183,19,73,54,91,100,100,99,78,86,52,78,26,43,8,0,0,3
184,98,100,52,77,18,52,0,25,25,0,100,5,97,29,23,22,6
185,79,74,21,67,15,92,71,100,100,75,73,45,36,18,0,0,9
186,100,100,59,79,26,54,2,28,1,0,58,0,58,21,0,19,6
187,19,86,35,72,95,94,0,100,60,78,100,52,67,26,26,0,9
188,16,59,0,31,31,0,78,15,100,55,87,98,40,100,6,67,0
189,83,86,44,100,0,74,58,67,100,94,89,63,77,31,75,0,9
190,0,97,43,100,58,62,41,17,26,0,8,36,54,34,100,33,7
191,0,70,63,80,90,100,100,89,100,67,92,44,84,22,71,0,1
192,30,100,4,67,0,24,30,0,66,11,95,41,100,82,64,93,0
193,100,96,71,100,42,79,49,56,91,51,82,16,42,0,0,1,5
194,47,100,19,67,0,30,20,0,68,5,100,33,91,72,50,88,0
195,100,100,64,98,26,85,36,63,76,58,75,24,42,1,0,0,5
196,29,47,59,71,100,100,90,81,74,50,66,18,0,0,99,7,1
197,89,87,38,100,17,78,80,77,100,76,92,34,61,0,0,4,9
198,67,100,36,82,0,60,5,37,66,38,100,50,73,25,56,0,4
199,53,100,23,77,0,57,74,66,100,79,70,85,44,42,16,0,4
200,27,100,0,74,40,54,100,59,84,91,57,64,43,32,33,0,4
201,2,80,36,50,54,12,9,0,0,41,5,78,49,95,100,100,5
202,48,95,94,100,100,73,75,47,41,25,0,5,41,1,94,0,2
203,100,100,68,96,38,70,14,44,0,14,36,0,51,23,3,28,6
204,58,100,0,89,44,53,100,21,63,0,62,36,87,80,25,91,8
205,0,61,22,89,59,100,72,73,53,42,31,12,58,0,100,4,2
206,0,75,29,79,71,91,100,100,82,74,68,48,57,21,58,0,1
207,0,48,28,64,61,82,92,100,100,84,86,56,73,28,64,0,1
208,36,90,86,100,87,73,47,49,92,44,100,16,53,0,0,1,3
209,78,85,65,66,100,25,49,0,15,29,58,67,66,100,0,84,8
210,69,100,31,73,39,55,89,62,100,84,63,57,31,28,0,0,4
211,0,87,55,100,100,81,74,41,49,0,20,10,32,32,99,35,7
212,100,100,92,85,75,71,58,57,58,42,33,28,8,14,0,0,1
213,47,91,37,63,65,27,21,0,9,40,0,91,49,100,100,91,5
214,0,96,45,100,100,99,79,83,60,63,45,42,36,21,33,0,7
215,12,73,29,62,66,32,29,0,5,29,0,71,38,96,100,100,5
216,84,93,20,100,22,50,44,0,0,22,54,59,100,95,27,97,8
217,39,80,21,60,35,19,12,0,0,31,16,72,51,98,100,100,5
218,52,100,29,73,0,47,19,42,69,37,100,54,90,30,88,0,4
219,78,100,40,94,16,58,5,21,53,0,100,27,36,30,0,0,6
220,0,89,47,100,89,87,74,61,45,37,15,14,43,0,100,1,2
221,44,80,80,100,100,85,72,59,92,38,93,14,49,3,0,0,3
222,80,100,60,76,26,52,0,28,46,11,97,29,100,24,100,0,4
223,51,100,0,90,5,57,92,61,100,70,85,82,68,40,86,0,4
224,95,68,77,100,21,76,60,38,68,0,0,15,29,53,100,81,8
225,91,100,66,88,31,58,15,26,50,0,100,17,67,45,0,47,6
226,34,64,52,100,58,57,37,16,0,0,24,20,61,1,100,5,2
227,38,92,15,72,42,44,25,0,0,8,8,61,40,93,100,100,5
228,27,92,22,53,58,28,18,0,0,32,13,85,50,98,100,100,5
229,100,100,52,80,20,52,6,20,45,0,99,12,59,30,0,25,6
230,0,96,40,100,60,66,58,27,41,0,20,35,54,42,100,46,7
231,0,82,25,100,52,73,44,34,32,0,0,29,50,34,100,39,7
232,0,48,30,67,65,85,100,100,84,75,65,51,47,25,34,0,1
233,0,100,50,97,100,91,74,63,55,29,42,0,20,31,68,36,7
234,14,55,40,61,59,100,58,62,59,21,100,14,48,5,0,0,1
235,46,96,80,100,81,76,77,60,100,36,75,12,36,0,0,6,3
236,0,67,38,66,62,30,38,0,8,30,45,63,100,90,58,100,8
237,92,73,32,63,0,86,51,100,100,82,96,51,64,23,21,0,9
238,34,76,0,41,7,0,62,0,100,33,95,74,49,100,0,83,0
239,52,80,84,100,100,75,58,53,91,48,89,10,44,0,0,16,3
240,33,93,8,58,0,20,35,0,78,21,100,55,94,93,48,100,0
241,0,93,45,100,74,75,57,37,35,0,25,24,53,41,100,37,7
242,100,75,95,100,24,81,38,44,69,8,0,0,45,33,96,64,8
243,9,61,25,100,59,72,42,27,0,5,5,24,53,16,100,0,2
244,65,96,81,66,100,100,40,92,71,64,93,45,65,5,0,0,9
245,77,100,53,90,0,43,13,0,86,34,100,84,73,51,10,9,0
246,0,0,38,13,71,34,94,61,100,90,63,100,44,76,73,53,9
247,49,54,100,78,65,100,0,82,12,60,90,64,95,33,86,0,9
248,0,45,0,61,48,82,100,100,97,78,72,51,45,24,33,0,1
249,73,100,43,70,0,42,25,41,100,45,90,64,63,32,54,0,4
250,100,100,71,95,30,64,1,27,32,0,82,19,54,51,0,48,6
251,0,82,40,100,80,80,43,53,54,45,100,25,63,0,3,4,3
252,0,74,28,100,69,99,79,63,59,28,28,0,57,0,100,2,2
253,100,100,68,78,37,55,13,29,11,0,51,2,41,20,0,20,6
254,22,98,0,75,4,18,55,0,100,36,84,89,34,100,21,46,0
255,100,100,14,90,74,55,79,97,37,62,0,39,36,0,39,44,8
256,67,97,19,74,0,30,34,0,79,32,100,76,58,100,10,73,0
257,86,100,0,95,32,56,100,22,30,0,5,36,80,68,52,99,8
258,76,82,34,77,0,84,55,100,100,85,77,52,38,25,3,0,9
259,34,79,66,100,83,72,52,51,100,49,91,13,43,0,0,14,3
260,0,68,73,45,100,8,20,0,37,38,92,72,85,100,7,81,8
261,100,92,64,100,37,77,20,50,11,21,22,0,35,26,0,40,6
262,85,100,56,72,42,39,55,7,100,0,95,30,46,37,0,23,6
263,28,75,57,100,93,82,71,51,33,26,0,0,49,5,100,16,2
264,31,88,5,50,4,8,57,0,100,30,100,71,56,100,0,92,0
265,62,45,95,75,69,100,4,86,0,59,74,57,100,32,94,0,9
266,0,89,41,94,87,100,100,98,80,75,68,50,59,25,60,0,7
267,38,73,5,64,0,15,53,0,98,34,100,83,47,100,20,60,0
268,56,83,28,61,90,23,24,0,22,40,100,72,72,100,0,72,8
269,76,85,0,100,16,63,81,31,69,0,6,25,34,64,100,95,8
270,3,100,4,83,0,56,15,31,60,28,100,42,91,26,88,0,4
271,70,100,46,70,12,38,0,25,52,29,100,41,96,38,90,0,4
272,65,100,25,93,0,56,11,16,60,0,100,20,50,28,9,1,6
273,100,100,50,98,16,67,0,30,26,0,80,8,81,34,29,24,6
274,13,100,8,93,0,66,8,41,57,40,100,50,82,25,69,0,4
275,10,97,2,47,24,1,74,0,100,43,82,90,33,100,0,65,0
276,28,55,63,78,100,100,75,71,56,42,35,13,0,0,25,0,1
277,41,79,47,100,84,94,71,52,42,16,0,3,49,7,100,0,2
278,0,80,30,100,74,81,82,43,75,4,39,0,44,16,100,20,7
279,33,80,23,100,87,96,97,68,79,44,100,16,44,0,0,22,3
280,45,100,1,67,0,24,69,24,100,48,73,98,80,53,90,0,4
281,100,96,66,100,63,85,85,88,78,53,66,20,35,0,0,12,9
282,100,100,62,83,36,57,23,26,42,0,81,10,43,23,0,18,6
283,100,97,56,100,22,83,18,50,53,47,68,22,37,0,0,6,5
284,36,69,33,100,64,85,43,48,0,21,6,19,57,0,100,20,2
285,100,100,59,78,25,52,0,24,16,0,79,8,70,29,7,27,6
286,0,95,52,100,100,79,83,44,67,8,45,0,3,30,84,38,7
287,92,100,61,85,31,57,10,29,21,0,100,7,69,27,0,13,6
288,93,91,40,100,15,79,23,36,72,53,100,21,57,0,0,6,5
289,23,76,52,100,100,98,79,71,63,50,82,19,49,0,0,7,3
290,28,71,43,100,76,79,49,47,11,21,0,0,50,1,100,4,2
291,100,100,63,94,20,73,13,44,70,47,89,19,46,0,0,7,5
292,100,100,54,90,17,66,0,35,16,5,66,0,66,29,22,47,6
293,74,100,30,76,0,50,55,49,100,72,77,56,52,28,35,0,4
294,39,81,72,100,100,77,71,51,95,43,95,16,50,0,0,1,3
295,41,53,60,100,100,89,70,42,33,0,72,16,54,62,0,72,8
296,0,84,34,100,67,85,60,44,31,19,26,20,64,13,100,0,2
297,29,88,23,57,73,40,51,0,0,13,12,58,42,94,100,100,5
298,11,84,52,100,100,96,83,66,72,50,87,16,45,0,0,11,3
299,54,85,100,100,99,98,49,86,23,60,63,34,50,1,0,0,5
300,0,94,46,100,100,97,82,62,48,30,17,0,18,34,74,38,7
301,47,100,19,81,0,58,19,39,61,38,100,42,82,23,62,0,4
302,13,78,45,100,97,87,69,58,76,47,100,15,49,0,0,19,3
303,100,100,55,98,26,81,40,67,78,55,74,25,43,1,0,0,5
304,0,32,29,55,63,78,100,100,90,75,88,50,84,25,80,0,1
305,0,73,28,92,73,100,100,81,85,55,58,32,36,8,79,0,2
306,100,97,66,100,30,88,24,55,54,59,61,27,38,0,0,1,5
307,92,65,50,100,0,82,47,46,87,6,42,0,54,45,100,79,8
308,9,32,60,62,80,100,6,93,36,56,100,27,57,0,0,25,8
309,42,100,34,73,0,42,2,42,62,36,100,59,92,35,87,0,4
310,0,78,40,100,97,78,69,39,44,0,100,7,35,37,22,73,8
311,43,100,98,96,77,97,37,70,60,53,100,20,47,0,0,14,5
312,100,74,46,65,0,78,36,100,78,88,80,58,78,28,88,0,9
313,33,78,66,100,91,86,64,60,100,42,82,10,41,0,0,7,3
314,10,86,0,44,33,0,80,9,100,65,64,100,22,74,32,20,0
315,0,85,32,100,76,91,70,65,38,43,11,20,50,6,100,0,2
316,0,84,40,100,76,71,65,33,32,0,5,28,42,44,100,46,7
317,21,82,13,55,54,100,27,87,38,37,40,0,0,7,100,5,1
318,0,65,46,91,50,100,50,62,52,23,4,2,12,5,100,0,1
319,36,63,0,67,53,84,100,100,83,74,66,47,53,21,51,0,1
320,10,100,24,93,0,61,0,37,69,35,100,57,80,34,70,0,4
321,0,88,41,100,73,80,64,40,49,0,40,13,49,42,100,46,7
322,0,89,41,100,89,93,100,62,84,31,64,0,27,17,54,34,7
323,55,76,22,68,66,29,39,0,52,32,100,68,69,100,0,86,8
324,0,52,37,73,76,94,100,100,75,75,53,49,35,22,28,0,1
325,45,92,19,94,42,68,58,100,89,69,100,24,55,0,0,3,9
326,27,100,2,56,12,8,62,0,100,33,94,79,46,94,0,72,0
327,100,100,66,100,25,69,0,35,14,0,77,0,72,34,10,51,6
328,38,76,58,100,21,65,0,27,44,0,100,22,45,36,22,8,6
329,24,66,100,89,30,66,88,32,34,0,0,34,61,72,77,100,8
330,37,100,57,91,47,50,22,20,0,17,33,17,66,4,100,0,2
331,5,85,50,100,79,77,54,50,85,44,100,22,56,2,0,0,3
332,93,100,5,96,42,65,85,32,58,0,0,14,36,47,100,74,8
333,0,89,28,100,64,85,43,61,9,44,23,21,62,11,100,0,2
334,43,99,8,68,73,74,62,25,0,0,7,49,20,96,100,100,5
335,22,83,62,100,92,78,51,53,55,37,100,17,55,0,0,7,3
336,100,100,44,91,7,60,0,24,46,0,99,24,41,30,19,0,6
337,0,83,37,100,81,90,65,61,100,45,97,15,54,0,14,7,3
338,0,76,24,100,65,97,61,63,40,31,6,5,51,2,100,0,2
339,0,95,35,100,59,78,61,52,46,27,22,5,56,0,100,1,2
340,100,100,57,78,25,53,12,26,30,0,88,7,65,28,0,21,6
341,5,79,19,100,25,66,14,32,0,3,34,0,66,5,100,7,2
342,50,86,17,60,0,27,21,0,70,9,100,37,91,70,63,100,0
343,86,79,47,100,18,62,65,27,66,0,0,3,46,39,100,71,8
344,38,96,49,68,74,100,24,87,91,80,100,30,54,0,0,32,9
345,0,100,65,99,70,66,51,33,32,0,15,12,29,39,100,44,7
346,0,69,10,54,67,37,47,0,14,13,17,54,34,92,100,100,5
347,73,100,49,62,0,38,56,43,100,57,88,78,65,39,49,0,4
348,40,84,61,100,87,83,53,60,96,47,100,23,55,5,0,0,3
349,0,75,45,85,100,100,84,80,71,59,58,37,55,15,63,0,1
350,44,60,0,77,47,99,100,100,84,75,75,50,75,24,100,0,1
351,100,100,75,83,43,57,20,28,31,0,77,6,48,24,0,24,6
352,100,99,56,100,31,65,87,73,98,90,94,48,61,13,0,0,9
353,0,56,5,14,47,0,86,25,100,66,76,100,34,80,6,45,0
354,19,88,62,100,100,81,83,48,47,23,0,6,18,0,72,1,2
355,11,50,0,16,38,0,79,8,100,46,76,84,37,100,0,84,0
356,32,76,70,100,100,72,66,38,7,19,0,33,59,18,91,0,2
357,86,78,48,100,14,72,19,35,2,0,0,29,49,59,100,88,8
358,24,87,0,62,7,0,61,0,100,44,80,100,29,93,7,36,0
359,13,71,40,100,65,69,41,34,0,12,2,8,51,6,100,0,2
360,100,100,51,85,18,58,0,28,17,0,78,1,68,20,8,12,6
361,80,100,32,81,7,52,0,21,40,0,100,9,88,30,28,22,6
362,0,58,4,67,42,83,79,100,100,98,81,66,65,34,66,0,1
363,0,82,47,100,75,72,52,35,22,0,16,22,41,48,100,52,7
364,97,66,77,100,8,96,0,67,69,72,100,73,92,36,86,0,9
365,40,76,62,100,62,69,34,40,0,16,12,11,57,10,100,0,2
366,25,76,45,100,77,66,57,25,9,3,0,7,53,6,100,0,2
367,15,100,8,70,0,39,19,20,78,21,100,43,76,30,72,0,4
368,21,100,12,66,64,49,52,0,10,16,0,72,43,94,100,94,5
369,17,82,56,100,100,90,64,66,85,40,94,12,48,3,0,0,3
370,39,100,0,82,22,55,100,63,62,99,62,81,59,40,60,0,4
371,0,82,26,100,51,80,43,50,24,22,12,2,57,1,100,0,2
372,30,81,70,100,69,65,39,31,0,5,7,18,52,0,100,4,2
373,100,100,26,97,1,66,45,33,29,0,0,26,38,61,87,93,8
374,21,85,8,46,61,47,39,0,0,13,11,66,35,98,100,100,5
375,17,96,0,45,26,0,73,1,100,48,88,100,44,99,23,52,0
376,73,98,0,95,16,60,84,29,70,0,45,35,100,69,88,100,8
377,18,78,53,100,90,81,43,57,90,55,100,22,52,0,0,16,3
378,9,86,1,51,27,11,76,0,100,39,84,83,37,100,0,69,0
379,0,100,67,94,83,65,57,33,41,0,0,20,29,31,100,32,7
380,35,98,76,100,80,72,67,54,100,34,77,9,35,0,0,7,3
381,33,100,10,76,0,48,4,20,43,0,100,10,81,31,21,25,6
382,10,78,40,100,100,99,70,53,29,12,0,0,7,45,70,55,7
